epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,5111.47,0.59424,0.44564,1.06105,0.8045,0.80191,0.80509,0.68266,0.58357,0.50206,1.04479,0.000514154,0.000514154,0.000514154
99,5158.19,0.60797,0.45224,1.06615,0.80495,0.80255,0.80332,0.68065,0.58132,0.5019,1.04834,0.000504723,0.000504723,0.000504723
100,5204.53,0.58514,0.43902,1.05506,0.81461,0.79311,0.8012,0.67947,0.58723,0.49935,1.05695,0.000495291,0.000495291,0.000495291
101,5251.43,0.58113,0.43271,1.05723,0.82341,0.78918,0.79648,0.67955,0.57652,0.49897,1.04814,0.00048586,0.00048586,0.00048586
102,5298.2,0.58694,0.44001,1.05876,0.829,0.78448,0.80388,0.68813,0.56477,0.4855,1.036,0.000476429,0.000476429,0.000476429
103,5342,0.56919,0.43365,1.05145,0.81922,0.79624,0.8056,0.68426,0.56878,0.48894,1.04263,0.000466997,0.000466997,0.000466997
104,5385.89,0.5851,0.4324,1.05637,0.81972,0.78676,0.8002,0.68499,0.57234,0.49386,1.04597,0.000457566,0.000457566,0.000457566
105,5429.7,0.56777,0.42872,1.05173,0.80308,0.80777,0.80726,0.68731,0.56928,0.48984,1.03579,0.000448134,0.000448134,0.000448134
106,5473.59,0.57199,0.43517,1.05233,0.82821,0.78634,0.80578,0.68609,0.57688,0.50319,1.04466,0.000438703,0.000438703,0.000438703
107,5517.24,0.56144,0.42076,1.04648,0.82549,0.79401,0.80713,0.68817,0.57541,0.49586,1.04231,0.000429272,0.000429272,0.000429272
108,5561.08,0.56315,0.41888,1.04352,0.80298,0.80525,0.80559,0.68488,0.57455,0.49691,1.04487,0.00041984,0.00041984,0.00041984
109,5604.77,0.55513,0.41457,1.03865,0.80808,0.80672,0.80755,0.68992,0.57284,0.49124,1.04375,0.000410409,0.000410409,0.000410409
110,5648.87,0.56798,0.41598,1.04624,0.8272,0.7875,0.80566,0.68802,0.57324,0.48973,1.04134,0.000400977,0.000400977,0.000400977
111,5693.18,0.56075,0.40728,1.04191,0.8379,0.77988,0.8017,0.68543,0.57242,0.50825,1.04214,0.000391546,0.000391546,0.000391546
112,5737.06,0.56009,0.41224,1.04856,0.80689,0.79522,0.79834,0.68515,0.57259,0.50278,1.04623,0.000382115,0.000382115,0.000382115
113,5780.89,0.5625,0.41402,1.04389,0.79281,0.81259,0.80188,0.68727,0.57632,0.50295,1.04826,0.000372683,0.000372683,0.000372683
114,5824.81,0.5449,0.39683,1.03766,0.83681,0.78069,0.80475,0.68626,0.57613,0.49086,1.04537,0.000363252,0.000363252,0.000363252
115,5867.81,0.54995,0.40444,1.03964,0.81214,0.79433,0.80461,0.68654,0.58101,0.5002,1.04845,0.00035382,0.00035382,0.00035382
116,5912.1,0.53921,0.40153,1.03607,0.81779,0.79039,0.80483,0.68606,0.57531,0.48987,1.0416,0.000344389,0.000344389,0.000344389
117,5957.24,0.53999,0.40112,1.03335,0.8097,0.80137,0.80462,0.68556,0.58125,0.49154,1.04718,0.000334958,0.000334958,0.000334958
118,6002.52,0.54765,0.39444,1.03833,0.82223,0.78616,0.80513,0.68477,0.57811,0.49104,1.04796,0.000325526,0.000325526,0.000325526
119,6047.5,0.53607,0.39185,1.02669,0.80251,0.80309,0.8057,0.68428,0.58077,0.49914,1.05282,0.000316095,0.000316095,0.000316095
120,6092.54,0.54895,0.39966,1.03627,0.82456,0.78755,0.80078,0.67994,0.57618,0.49706,1.04896,0.000306663,0.000306663,0.000306663
121,6137.34,0.54105,0.39015,1.02671,0.80931,0.80411,0.80205,0.68376,0.57616,0.48817,1.04827,0.000297232,0.000297232,0.000297232
122,6182.89,0.54054,0.39167,1.028,0.79003,0.81037,0.80268,0.68445,0.57396,0.492,1.0492,0.000287801,0.000287801,0.000287801
123,6227.97,0.52051,0.37504,1.01677,0.83237,0.78484,0.80781,0.68353,0.57535,0.49095,1.04497,0.000278369,0.000278369,0.000278369
124,6272.92,0.52519,0.38107,1.02402,0.8238,0.7909,0.80352,0.68534,0.57318,0.49008,1.04671,0.000268938,0.000268938,0.000268938
125,6317.85,0.53533,0.39057,1.03291,0.80125,0.80883,0.80501,0.68536,0.57174,0.4874,1.04111,0.000259506,0.000259506,0.000259506
126,6363.41,0.53491,0.38336,1.02769,0.82986,0.78951,0.80585,0.68801,0.5697,0.48014,1.04379,0.000250075,0.000250075,0.000250075
127,6409.21,0.52878,0.38092,1.02471,0.82319,0.79646,0.80063,0.68692,0.57068,0.48761,1.04684,0.000240644,0.000240644,0.000240644
128,6455.81,0.523,0.37803,1.02726,0.81465,0.79948,0.80053,0.68493,0.56782,0.48623,1.04588,0.000231212,0.000231212,0.000231212
129,6502.9,0.52915,0.37761,1.02636,0.82826,0.79193,0.80487,0.68861,0.56618,0.47308,1.04271,0.000221781,0.000221781,0.000221781
130,6550.02,0.50648,0.36121,1.01657,0.84247,0.78681,0.80484,0.68715,0.56777,0.48054,1.04592,0.000212349,0.000212349,0.000212349
131,6597.78,0.51622,0.36879,1.01745,0.8317,0.79719,0.80642,0.68535,0.56716,0.47883,1.04158,0.000202918,0.000202918,0.000202918
132,6644.69,0.50951,0.36412,1.012,0.83044,0.80613,0.8076,0.68623,0.5723,0.48298,1.04598,0.000193487,0.000193487,0.000193487
133,6691.7,0.5194,0.37633,1.02218,0.85769,0.78195,0.81019,0.68919,0.56459,0.47274,1.04287,0.000184055,0.000184055,0.000184055
134,6738.39,0.51794,0.37614,1.0213,0.82561,0.79793,0.80694,0.68852,0.57059,0.47837,1.04793,0.000174624,0.000174624,0.000174624
135,6784.27,0.51258,0.36706,1.01511,0.83926,0.79554,0.81128,0.69037,0.56799,0.47788,1.04618,0.000165192,0.000165192,0.000165192
136,6829.94,0.50022,0.35807,1.01033,0.83996,0.79073,0.81177,0.68976,0.56548,0.48612,1.04199,0.000155761,0.000155761,0.000155761
137,6875.61,0.51274,0.36595,1.01455,0.83808,0.7946,0.80672,0.68973,0.56146,0.48648,1.04087,0.00014633,0.00014633,0.00014633
138,6920.83,0.50992,0.3558,1.01309,0.84966,0.79046,0.80658,0.68866,0.565,0.48166,1.04482,0.000136898,0.000136898,0.000136898
139,6966.22,0.5016,0.35878,1.01319,0.83168,0.79377,0.80187,0.68732,0.56168,0.48233,1.04095,0.000127467,0.000127467,0.000127467
140,7011.52,0.49542,0.36003,1.00305,0.83303,0.79262,0.79893,0.68483,0.56169,0.48277,1.04311,0.000118035,0.000118035,0.000118035
141,7068.57,0.41531,0.28188,0.94059,0.85127,0.77104,0.79927,0.68471,0.5663,0.4822,1.05062,0.000108604,0.000108604,0.000108604
142,7113.61,0.40706,0.27164,0.93886,0.81232,0.79764,0.803,0.68483,0.56693,0.48046,1.04998,9.91726e-05,9.91726e-05,9.91726e-05
143,7159.13,0.40711,0.2756,0.93792,0.84257,0.77943,0.802,0.6852,0.56958,0.47996,1.05296,8.97412e-05,8.97412e-05,8.97412e-05
144,7205.02,0.39944,0.26256,0.93109,0.82527,0.79252,0.79983,0.68658,0.56538,0.47795,1.04952,8.03098e-05,8.03098e-05,8.03098e-05
145,7250.38,0.39792,0.26371,0.92784,0.83561,0.7884,0.79865,0.68427,0.56234,0.48485,1.04549,7.08784e-05,7.08784e-05,7.08784e-05
146,7295.45,0.40288,0.26286,0.93636,0.83664,0.78847,0.79964,0.68321,0.56069,0.48445,1.04383,6.1447e-05,6.1447e-05,6.1447e-05
147,7340.95,0.39004,0.26033,0.92873,0.82068,0.79928,0.80205,0.68434,0.55951,0.48341,1.04426,5.20156e-05,5.20156e-05,5.20156e-05
148,7385.75,0.38553,0.25948,0.9234,0.81247,0.80189,0.79977,0.68457,0.55926,0.48148,1.04579,4.25842e-05,4.25842e-05,4.25842e-05
149,7429.96,0.38382,0.25367,0.92849,0.81393,0.80545,0.79982,0.68567,0.55946,0.48215,1.04578,3.31528e-05,3.31528e-05,3.31528e-05
150,7474.17,0.37941,0.24994,0.92006,0.81649,0.80393,0.80032,0.68531,0.55951,0.48245,1.04483,2.37214e-05,2.37214e-05,2.37214e-05
