epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
63,8106.54,0.59168,0.45326,1.03979,0.94523,0.91995,0.9485,0.86698,0.46241,0.33711,0.92221,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
64,8231.29,0.59007,0.44737,1.03782,0.9515,0.90939,0.94549,0.8656,0.45845,0.33962,0.92135,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
65,8355.91,0.58224,0.44527,1.03484,0.94451,0.9182,0.9513,0.86737,0.45264,0.33688,0.91677,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
66,8480.85,0.58439,0.44316,1.03372,0.94814,0.91934,0.9533,0.86862,0.45667,0.32764,0.91898,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
67,8605.55,0.57566,0.43944,1.03141,0.94627,0.91927,0.95117,0.86596,0.45248,0.33128,0.91498,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
68,8730.21,0.57477,0.43318,1.02565,0.9508,0.91827,0.94725,0.86534,0.45244,0.32951,0.91643,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
69,8854.91,0.56798,0.42623,1.02373,0.95734,0.90744,0.94878,0.86627,0.45303,0.33112,0.91679,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
70,8979.46,0.57394,0.43007,1.02769,0.94156,0.92116,0.95042,0.86901,0.44844,0.33245,0.91133,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
71,9104.15,0.56391,0.42487,1.02236,0.94527,0.91569,0.95031,0.8686,0.44929,0.33465,0.9102,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
72,9228.79,0.56303,0.42209,1.02031,0.94739,0.91554,0.94787,0.86495,0.45544,0.34035,0.91516,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314
73,9353.44,0.56011,0.42164,1.02195,0.95053,0.91493,0.94632,0.86625,0.4541,0.34385,0.91588,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
74,9478.07,0.55683,0.41482,1.01898,0.95325,0.9131,0.94521,0.86672,0.45859,0.34218,0.91859,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182
75,9602.84,0.55853,0.41355,1.01885,0.93953,0.92673,0.94434,0.86716,0.4569,0.33865,0.92149,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116
76,9727.44,0.5555,0.41527,1.01528,0.94732,0.9175,0.9424,0.86649,0.45853,0.33678,0.92388,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,9851.99,0.54803,0.41049,1.0116,0.94665,0.91286,0.9492,0.86727,0.45707,0.33551,0.9241,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984
78,9976.58,0.54826,0.4101,1.01156,0.94597,0.91439,0.94979,0.86675,0.45215,0.33302,0.91854,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918
79,10101.3,0.54462,0.40079,1.00909,0.94893,0.9137,0.94977,0.867,0.45317,0.32708,0.92118,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
80,10226,0.53806,0.40133,1.00531,0.9456,0.91902,0.95006,0.86734,0.4503,0.32129,0.92015,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786
81,10350.9,0.53084,0.39447,1.00278,0.94034,0.92719,0.95021,0.86763,0.4472,0.3169,0.91835,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
82,10475.5,0.53475,0.39711,1.00522,0.94389,0.92315,0.95083,0.8692,0.44308,0.31672,0.91295,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
83,10600.1,0.52858,0.39247,1.0006,0.94292,0.92622,0.95046,0.86925,0.44168,0.31327,0.90984,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588
84,10724.8,0.53523,0.3922,1.00475,0.94333,0.92162,0.95061,0.86945,0.4446,0.31056,0.9117,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522
85,10849.5,0.52627,0.39057,1.00156,0.94403,0.92714,0.95097,0.86934,0.44568,0.30825,0.9116,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
86,10974.3,0.52094,0.38542,0.99746,0.93921,0.92964,0.95119,0.87077,0.44684,0.31054,0.91275,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
87,11098.8,0.52167,0.38299,0.9989,0.94344,0.92676,0.95016,0.86921,0.44606,0.31417,0.91351,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324
88,11223.3,0.51794,0.38171,0.99444,0.94168,0.92486,0.95091,0.86823,0.44681,0.31638,0.91469,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
89,11347.7,0.51989,0.38375,0.99556,0.94217,0.92767,0.94998,0.8683,0.44733,0.31699,0.91457,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192
90,11472.8,0.5174,0.37797,0.9967,0.93485,0.93249,0.94964,0.86966,0.44599,0.31897,0.91441,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126
91,11597.4,0.50877,0.36689,0.98901,0.93731,0.9338,0.95019,0.86917,0.44577,0.31809,0.91531,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
92,11722.1,0.51352,0.37767,0.99251,0.95314,0.91622,0.95063,0.86904,0.44465,0.31607,0.91435,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994
93,11846.7,0.51073,0.37704,0.99423,0.93792,0.93169,0.95047,0.86821,0.44036,0.31547,0.91104,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928
94,11971.3,0.50218,0.36836,0.98941,0.93976,0.93036,0.94999,0.86961,0.44164,0.31641,0.91348,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
95,12096,0.51038,0.37273,0.99201,0.94472,0.92217,0.95003,0.8684,0.44093,0.31934,0.91268,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796
96,12220.8,0.50121,0.366,0.99002,0.93793,0.92943,0.95075,0.86755,0.44296,0.31663,0.91528,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
